"main","grades","depth","hex"
"red","tint",1,"#f32e12"
"red","tint",2,"#f4432a"
"red","tint",3,"#f55841"
"red","tint",4,"#f76d59"
"red","tint",5,"#f88271"
"red","tint",6,"#f99789"
"red","tint",7,"#faaba0"
"red","tint",8,"#fbc0b8"
"red","tint",9,"#fdd5d0"
"red","tint",10,"#feeae7"
"red","tone",1,"#f32e12"
"red","tone",2,"#e8361d"
"red","tone",3,"#dc3e28"
"red","tone",4,"#d14733"
"red","tone",5,"#c54f3e"
"red","tone",6,"#ba5749"
"red","tone",7,"#ae5f54"
"red","tone",8,"#a3675f"
"red","tone",9,"#97706a"
"red","tone",10,"#8c7875"
"red","shade",1,"#f32e12"
"red","shade",2,"#db2910"
"red","shade",3,"#c2250e"
"red","shade",4,"#aa200d"
"red","shade",5,"#921c0b"
"red","shade",6,"#7a1709"
"red","shade",7,"#611207"
"red","shade",8,"#490e05"
"red","shade",9,"#310904"
"red","shade",10,"#180502"
"orange","tint",1,"#e98f4e"
"orange","tint",2,"#eb9a60"
"orange","tint",3,"#eda571"
"orange","tint",4,"#f0b183"
"orange","tint",5,"#f2bc95"
"orange","tint",6,"#f4c7a7"
"orange","tint",7,"#f6d2b8"
"orange","tint",8,"#f8ddca"
"orange","tint",9,"#fbe9dc"
"orange","tint",10,"#fdf4ed"
"orange","tone",1,"#e98f4e"
"orange","tone",2,"#df8e53"
"orange","tone",3,"#d48c58"
"orange","tone",4,"#ca8b5d"
"orange","tone",5,"#bf8962"
"orange","tone",6,"#b58867"
"orange","tone",7,"#aa866c"
"orange","tone",8,"#a08571"
"orange","tone",9,"#958376"
"orange","tone",10,"#8b827b"
"orange","shade",1,"#e98f4e"
"orange","shade",2,"#d28146"
"orange","shade",3,"#ba723e"
"orange","shade",4,"#a36437"
"orange","shade",5,"#8c562f"
"orange","shade",6,"#754827"
"orange","shade",7,"#5d391f"
"orange","shade",8,"#462b17"
"orange","shade",9,"#2f1d10"
"orange","shade",10,"#170e08"
"yellow","tint",1,"#facf48"
"yellow","tint",2,"#fbd45a"
"yellow","tint",3,"#fbd96d"
"yellow","tint",4,"#fcdd7f"
"yellow","tint",5,"#fce291"
"yellow","tint",6,"#fde7a4"
"yellow","tint",7,"#fdecb6"
"yellow","tint",8,"#fef1c8"
"yellow","tint",9,"#fef5da"
"yellow","tint",10,"#fffaed"
"yellow","tone",1,"#facf48"
"yellow","tone",2,"#eec74e"
"yellow","tone",3,"#e2bf53"
"yellow","tone",4,"#d5b759"
"yellow","tone",5,"#c9af5e"
"yellow","tone",6,"#bda864"
"yellow","tone",7,"#b1a06a"
"yellow","tone",8,"#a5986f"
"yellow","tone",9,"#989075"
"yellow","tone",10,"#8c887a"
"yellow","shade",1,"#facf48"
"yellow","shade",2,"#e1ba41"
"yellow","shade",3,"#c8a63a"
"yellow","shade",4,"#af9132"
"yellow","shade",5,"#967c2b"
"yellow","shade",6,"#7d6824"
"yellow","shade",7,"#64531d"
"yellow","shade",8,"#4b3e16"
"yellow","shade",9,"#32290e"
"yellow","shade",10,"#191507"
"green","tint",1,"#18915c"
"green","tint",2,"#2f9c6c"
"green","tint",3,"#46a77d"
"green","tint",4,"#5db28d"
"green","tint",5,"#74bd9d"
"green","tint",6,"#8cc8ae"
"green","tint",7,"#a3d3be"
"green","tint",8,"#badece"
"green","tint",9,"#d1e9de"
"green","tint",10,"#e8f4ef"
"green","tone",1,"#18915c"
"green","tone",2,"#228f60"
"green","tone",3,"#2d8e63"
"green","tone",4,"#378c67"
"green","tone",5,"#428a6a"
"green","tone",6,"#4c896e"
"green","tone",7,"#568772"
"green","tone",8,"#618575"
"green","tone",9,"#6b8379"
"green","tone",10,"#76827c"
"green","shade",1,"#18915c"
"green","shade",2,"#168353"
"green","shade",3,"#13744a"
"green","shade",4,"#116640"
"green","shade",5,"#0e5737"
"green","shade",6,"#0c492e"
"green","shade",7,"#0a3a25"
"green","shade",8,"#072c1c"
"green","shade",9,"#051d12"
"green","shade",10,"#020f09"
"blue","tint",1,"#0e4490"
"blue","tint",2,"#26579b"
"blue","tint",3,"#3e69a6"
"blue","tint",4,"#567cb1"
"blue","tint",5,"#6e8fbc"
"blue","tint",6,"#87a2c8"
"blue","tint",7,"#9fb4d3"
"blue","tint",8,"#b7c7de"
"blue","tint",9,"#cfdae9"
"blue","tint",10,"#e7ecf4"
"blue","tone",1,"#0e4490"
"blue","tone",2,"#194a8e"
"blue","tone",3,"#25508d"
"blue","tone",4,"#30568b"
"blue","tone",5,"#3c5c8a"
"blue","tone",6,"#476288"
"blue","tone",7,"#526886"
"blue","tone",8,"#5e6e85"
"blue","tone",9,"#697483"
"blue","tone",10,"#757a82"
"blue","shade",1,"#0e4490"
"blue","shade",2,"#0d3d82"
"blue","shade",3,"#0b3673"
"blue","shade",4,"#0a3065"
"blue","shade",5,"#082956"
"blue","shade",6,"#072248"
"blue","shade",7,"#061b3a"
"blue","shade",8,"#04142b"
"blue","shade",9,"#030e1d"
"blue","shade",10,"#01070e"
"indigo","tint",1,"#091f92"
"indigo","tint",2,"#22359d"
"indigo","tint",3,"#3a4ca8"
"indigo","tint",4,"#5362b3"
"indigo","tint",5,"#6b79be"
"indigo","tint",6,"#848fc9"
"indigo","tint",7,"#9da5d3"
"indigo","tint",8,"#b5bcde"
"indigo","tint",9,"#ced2e9"
"indigo","tint",10,"#e6e9f4"
"indigo","tone",1,"#091f92"
"indigo","tone",2,"#152990"
"indigo","tone",3,"#21328e"
"indigo","tone",4,"#2d3c8d"
"indigo","tone",5,"#39468b"
"indigo","tone",6,"#455089"
"indigo","tone",7,"#505987"
"indigo","tone",8,"#5c6385"
"indigo","tone",9,"#686d84"
"indigo","tone",10,"#747682"
"indigo","shade",1,"#091f92"
"indigo","shade",2,"#081c83"
"indigo","shade",3,"#071975"
"indigo","shade",4,"#061666"
"indigo","shade",5,"#051358"
"indigo","shade",6,"#051049"
"indigo","shade",7,"#040c3a"
"indigo","shade",8,"#03092c"
"indigo","shade",9,"#02061d"
"indigo","shade",10,"#01030f"
"violet","tint",1,"#553492"
"violet","tint",2,"#66489d"
"violet","tint",3,"#775da8"
"violet","tint",4,"#8871b3"
"violet","tint",5,"#9985be"
"violet","tint",6,"#aa9ac9"
"violet","tint",7,"#bbaed3"
"violet","tint",8,"#ccc2de"
"violet","tint",9,"#ddd6e9"
"violet","tint",10,"#eeebf4"
"violet","tone",1,"#553492"
"violet","tone",2,"#593c90"
"violet","tone",3,"#5e438e"
"violet","tone",4,"#624b8d"
"violet","tone",5,"#66528b"
"violet","tone",6,"#6b5a89"
"violet","tone",7,"#6f6287"
"violet","tone",8,"#736985"
"violet","tone",9,"#777184"
"violet","tone",10,"#7c7882"
"violet","shade",1,"#553492"
"violet","shade",2,"#4d2f83"
"violet","shade",3,"#442a75"
"violet","shade",4,"#3c2466"
"violet","shade",5,"#331f58"
"violet","shade",6,"#2b1a49"
"violet","shade",7,"#22153a"
"violet","shade",8,"#1a102c"
"violet","shade",9,"#110a1d"
"violet","shade",10,"#09050f"
"brown","tint",1,"#7f4a00"
"brown","tint",2,"#8c5c1a"
"brown","tint",3,"#996e33"
"brown","tint",4,"#a5804d"
"brown","tint",5,"#b29266"
"brown","tint",6,"#bfa580"
"brown","tint",7,"#ccb799"
"brown","tint",8,"#d9c9b3"
"brown","tint",9,"#e5dbcc"
"brown","tint",10,"#f2ede6"
"brown","tone",1,"#7f4a00"
"brown","tone",2,"#7f4f0d"
"brown","tone",3,"#7f551a"
"brown","tone",4,"#7f5a26"
"brown","tone",5,"#7f6033"
"brown","tone",6,"#806540"
"brown","tone",7,"#806a4d"
"brown","tone",8,"#80705a"
"brown","tone",9,"#807566"
"brown","tone",10,"#807b73"
"brown","shade",1,"#7f4a00"
"brown","shade",2,"#724300"
"brown","shade",3,"#663b00"
"brown","shade",4,"#593400"
"brown","shade",5,"#4c2c00"
"brown","shade",6,"#402500"
"brown","shade",7,"#331e00"
"brown","shade",8,"#261600"
"brown","shade",9,"#190f00"
"brown","shade",10,"#0d0700"
"black","tint",1,"#808088"
"black","tint",2,"#8d8d94"
"black","tint",3,"#9999a0"
"black","tint",4,"#a6a6ac"
"black","tint",5,"#b3b3b8"
"black","tint",6,"#c0c0c4"
"black","tint",7,"#cccccf"
"black","tint",8,"#d9d9db"
"black","tint",9,"#e6e6e7"
"black","tint",10,"#f2f2f3"
"black","tone",1,"#808088"
"black","tone",2,"#808087"
"black","tone",3,"#808086"
"black","tone",4,"#808086"
"black","tone",5,"#808085"
"black","tone",6,"#808084"
"black","tone",7,"#808083"
"black","tone",8,"#808082"
"black","tone",9,"#808082"
"black","tone",10,"#808081"
"black","shade",1,"#808088"
"black","shade",2,"#73737a"
"black","shade",3,"#66666d"
"black","shade",4,"#5a5a5f"
"black","shade",5,"#4d4d52"
"black","shade",6,"#404044"
"black","shade",7,"#333336"
"black","shade",8,"#262629"
"black","shade",9,"#1a1a1b"
"black","shade",10,"#0d0d0e"
"white","tint",1,"#cc81a1"
"white","tint",2,"#d18eaa"
"white","tint",3,"#d69ab4"
"white","tint",4,"#dba7bd"
"white","tint",5,"#e0b3c7"
"white","tint",6,"#e6c0d0"
"white","tint",7,"#ebcdd9"
"white","tint",8,"#f0d9e3"
"white","tint",9,"#f5e6ec"
"white","tint",10,"#faf2f6"
"white","tone",1,"#cc81a1"
"white","tone",2,"#c4819e"
"white","tone",3,"#bd819a"
"white","tone",4,"#b58197"
"white","tone",5,"#ae8194"
"white","tone",6,"#a68191"
"white","tone",7,"#9e808d"
"white","tone",8,"#97808a"
"white","tone",9,"#8f8087"
"white","tone",10,"#888083"
"white","shade",1,"#cc81a1"
"white","shade",2,"#b87491"
"white","shade",3,"#a36781"
"white","shade",4,"#8f5a71"
"white","shade",5,"#7a4d61"
"white","shade",6,"#664151"
"white","shade",7,"#523440"
"white","shade",8,"#3d2730"
"white","shade",9,"#291a20"
"white","shade",10,"#140d10"
"pink","tint",1,"#5fd09f"
"pink","tint",2,"#6fd5a9"
"pink","tint",3,"#7fd9b2"
"pink","tint",4,"#8fdebc"
"pink","tint",5,"#9fe3c5"
"pink","tint",6,"#afe8cf"
"pink","tint",7,"#bfecd9"
"pink","tint",8,"#cff1e2"
"pink","tint",9,"#dff6ec"
"pink","tint",10,"#effaf5"
"pink","tone",1,"#5fd09f"
"pink","tone",2,"#62c89c"
"pink","tone",3,"#66c099"
"pink","tone",4,"#69b896"
"pink","tone",5,"#6cb093"
"pink","tone",6,"#70a890"
"pink","tone",7,"#73a08c"
"pink","tone",8,"#769889"
"pink","tone",9,"#799086"
"pink","tone",10,"#7d8883"
"pink","shade",1,"#5fd09f"
"pink","shade",2,"#56bb8f"
"pink","shade",3,"#4ca67f"
"pink","shade",4,"#43926f"
"pink","shade",5,"#397d5f"
"pink","shade",6,"#306850"
"pink","shade",7,"#265340"
"pink","shade",8,"#1d3e30"
"pink","shade",9,"#132a20"
"pink","shade",10,"#0a1510"
"copper","tint",1,"#32d0d1"
"copper","tint",2,"#47d5d6"
"copper","tint",3,"#5bd9da"
"copper","tint",4,"#70dedf"
"copper","tint",5,"#84e3e3"
"copper","tint",6,"#99e8e8"
"copper","tint",7,"#adeced"
"copper","tint",8,"#c2f1f1"
"copper","tint",9,"#d6f6f6"
"copper","tint",10,"#ebfafa"
"copper","tone",1,"#32d0d1"
"copper","tone",2,"#3ac8c9"
"copper","tone",3,"#42c0c1"
"copper","tone",4,"#49b8b9"
"copper","tone",5,"#51b0b1"
"copper","tone",6,"#59a8a9"
"copper","tone",7,"#61a0a0"
"copper","tone",8,"#699898"
"copper","tone",9,"#709090"
"copper","tone",10,"#788888"
"copper","shade",1,"#32d0d1"
"copper","shade",2,"#2dbbbc"
"copper","shade",3,"#28a6a7"
"copper","shade",4,"#239292"
"copper","shade",5,"#1e7d7d"
"copper","shade",6,"#196869"
"copper","shade",7,"#145354"
"copper","shade",8,"#0f3e3f"
"copper","shade",9,"#0a2a2a"
"copper","shade",10,"#051515"
"aquamarine","tint",1,"#00a56a"
"aquamarine","tint",2,"#1aae79"
"aquamarine","tint",3,"#33b788"
"aquamarine","tint",4,"#4dc097"
"aquamarine","tint",5,"#66c9a6"
"aquamarine","tint",6,"#80d2b5"
"aquamarine","tint",7,"#99dbc3"
"aquamarine","tint",8,"#b3e4d2"
"aquamarine","tint",9,"#ccede1"
"aquamarine","tint",10,"#e6f6f0"
"aquamarine","tone",1,"#00a56a"
"aquamarine","tone",2,"#0da16c"
"aquamarine","tone",3,"#1a9e6e"
"aquamarine","tone",4,"#269a71"
"aquamarine","tone",5,"#339673"
"aquamarine","tone",6,"#409375"
"aquamarine","tone",7,"#4d8f77"
"aquamarine","tone",8,"#5a8b79"
"aquamarine","tone",9,"#66877c"
"aquamarine","tone",10,"#73847e"
"aquamarine","shade",1,"#00a56a"
"aquamarine","shade",2,"#00955f"
"aquamarine","shade",3,"#008455"
"aquamarine","shade",4,"#00744a"
"aquamarine","shade",5,"#006340"
"aquamarine","shade",6,"#005335"
"aquamarine","shade",7,"#00422a"
"aquamarine","shade",8,"#003220"
"aquamarine","shade",9,"#002115"
"aquamarine","shade",10,"#00110b"
